City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,oskarshamn,57.2645,16.4484,1.1,98,100,3.78,SE,1702314100
321,lively,46.4334,-81.1498,-5.49,73,35,2.96,CA,1702314104
322,praia da vitoria,38.7333,-27.0667,17.14,72,75,4.44,PT,1702314107
323,sarangani,5.4033,125.4636,27.47,77,17,2.49,PH,1702314110
324,sil-li,39.4947,125.4736,-0.55,89,100,4.99,KP,1702314114
325,opuwo,-18.0607,13.84,30.3,19,61,8.12,NA,1702314116
326,kushiro,42.975,144.3747,-1.69,57,100,2.16,JP,1702314119
327,kattivakkam,13.2167,80.3167,26.05,75,14,4.34,IN,1702314122
328,tabas,33.5959,56.9244,14.12,30,92,2.06,IR,1702314124
329,amungan,15.3652,119.9582,27.36,79,62,5.55,PH,1702314127
330,udachny,66.4167,112.4,-25.07,97,100,5.26,RU,1702314129
331,cidreira,-30.1811,-50.2056,23.15,72,15,5.54,BR,1702313949
332,tabou,4.423,-7.3528,28.39,71,39,2.59,CI,1702314132
333,maragogi,-9.0122,-35.2225,30.03,53,12,5.38,BR,1702314135
334,mana,5.6592,-53.7767,28.78,72,27,4.91,GF,1702314137
335,sungai penuh,-2.0833,101.3833,18.03,97,100,1.08,ID,1702314139
336,ghadamis,30.1337,9.5007,15.33,38,0,3.07,LY,1702314142
337,tobelo,1.7284,128.0095,26.55,85,10,2.22,ID,1702314144
338,kloulklubed,7.0419,134.2556,27.28,76,17,5.95,PW,1702314146
339,nguigmi,14.2495,13.1092,22.43,19,0,5.04,NE,1702314147
340,kansanshi,-12.0951,26.4273,18.85,93,100,2.05,ZM,1702314149
341,new plymouth,-39.0667,174.0833,13.23,77,98,11.67,NZ,1702314151
342,keflavik,64.0049,-22.5624,2.24,75,75,4.63,IS,1702314153
343,mutuali,-14.8706,37.0044,27.6,55,88,2.88,MZ,1702314155
344,miri,4.4148,114.0089,26.08,94,40,1.03,MY,1702314157
345,nouadhibou,20.931,-17.0347,27.99,16,35,0.0,MR,1702314159
346,puerto lleras,3.0223,-73.4044,29.72,65,65,2.33,CO,1702314162
347,hassi messaoud,31.6804,6.0729,21.92,23,0,5.14,DZ,1702314164
348,shima,24.4478,117.8111,21.01,85,0,0.71,CN,1702314165
349,kangding,30.0513,101.9603,3.5,68,33,0.85,CN,1702314167
350,selkirk,50.1436,-96.8845,-4.39,91,100,2.68,CA,1702314102
351,mata-utu,-13.2816,-176.1745,27.52,79,100,5.3,WF,1702314171
352,saint-jean-sur-richelieu,45.3168,-73.2659,1.55,99,100,2.24,CA,1702313933
353,uturoa,-16.7333,-151.4333,26.97,76,57,9.49,PF,1702314183
354,chiredzi,-21.05,31.6667,22.09,89,99,1.07,ZW,1702314151
355,tazacorte,28.629,-17.9293,25.64,43,3,6.69,ES,1702314188
356,tromso,69.6496,18.957,-2.99,86,100,5.14,NO,1702314191
357,aitape,-3.1374,142.3475,27.82,83,100,9.62,PG,1702314123
